Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Serengeti ecosystem Tanzania;Serengeti;Africa;-2.39231;34.88412;6986.33074;6560.17802;1977;967.6;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 9/12, respectively (reflecting the time of year they stay in Serengeti). Broten and Said 1995 in Sinclair 1995 p. 182"
Serengeti ecosystem Tanzania;Serengeti;Africa;-2.39231;34.88412;5484.384609;5305.756369;1986;620.704;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 9/12, respectively (reflecting the time of year they stay in Serengeti). Broten and Said 1995 in Sinclair 1995 p. 182"
Serengeti ecosystem Tanzania;Serengeti;Africa;-2.39231;34.88412;5325.096361;5042.857241;1993;548.44;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 9/12, respectively (reflecting the time of year they stay in Serengeti). Broten and Said 1995 in Sinclair 1995 p. 182"
Serengeti ecosystem Tanzania;Serengeti;Africa;-2.39231;34.88412;5094.824939;4847.217819;2003;708.24;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;"Migratory; values for migrating zebra and wildebeest from Hatton is multiplied with 6/12 and 9/12, respectively (reflecting the time of year they stay in Serengeti). Broten and Said 1995 in Sinclair 1995 p. 182"
Serengeti;Serengeti;Africa;-2.76;34.45;11595;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Robinson_and_Bennett_(2004);Not included in Hatton
Sibiloi National Park;Sibiloi;Africa;3.97;36.41;405;NA;;NA;NA;0;NA;Rodriguez et al. 2014;East_(1984);Excluded. Synonymous to Lake Rudolf/Turkana. Not included in Hatton
Simanjiro Plains;Simanjiro;Africa;-4;36.5;8500;NA;;NA;NA;4858;NA;Rodriguez et al. 2014;Kahurananga_(1981);Not included in Hatton. Biomass estimate updated according to original reference.
Tarangire national Park;Tarangire;Africa;-4.04;36.03;1005;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Lamprey_(1964);Excluded. Included in Hatton
Tarangire National Park Tanzania;Tarangire;Africa;-4.15202;36.1115;1946.036839;1941.146762;1962;829.4711824;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tarangire National Park Tanzania;Tarangire;Africa;-4.15202;36.1115;320.439691;319.1325015;1962;146.1675579;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tarangire National Park Tanzania;Tarangire;Africa;-4.15202;36.1115;5853.32;5841.522105;2000;2090.035088;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Tsavo_National_Park_(East)_N._of_Voi_River;TsavoN;Africa;-2.5;38.85;4033;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not inlcuded in Hatton. GPS coordinate updated.
Tsavo_National_Park_(East)_S._of_Voi_River;TsavoS;Africa;-3.5;38.87;4388;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton.
Willem_Pretorius_Nature_Reserve;Willem Pretorius;Africa;-28.3;27.25;3344;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7233359;80.9476401;4716.808909;4710.819599;1989;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7227053;80.9476391;4994.753675;4963.365256;1990;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7233339;80.9476401;1353.262806;1346.608018;1991;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7220758;80.9476396;1232.922049;1226.267261;1992;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7220753;80.9476396;1256.158129;1249.688196;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7227048;80.9469535;1306.240535;1299.585746;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7214467;80.9476391;1461.173719;1454.518931;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7233344;80.9469535;1581.976392;1521.300668;1998;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7220758;80.9476391;1407.212918;1572.585746;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandhavgarh National Park India;Bandhavgarh;Asia;23.7233354;80.9476407;1526.883296;1401.63029;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandipur National Park India;Bandipur;Asia;11.76371;76.4517;5164.618202;5152.553933;1991;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandipur National Park India;Bandipur;Asia;11.76371;76.4517;9430.910225;9415.678652;1993;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandipur National Park India;Bandipur;Asia;11.76371;76.4517;9430.910225;9415.678652;1995;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bandipur National Park India;Bandipur;Asia;11.76371;76.4517;15074.82472;15074.82472;1997;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Benoue National Park;Benoue;Asia;8.24;13.85;1325;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Stark_(1986);Not included in Hatton
Bhadra Wildlife Sanctuary India;Bhadra;Asia;13.4787;75.6172;1929.962195;1902.674797;1997;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bharatpur Wildlife Sanctuary;Bharatpur;Asia;27.16;77.52;1550;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
Biligiri Rangaswamy Temple Wildlife Sanctuary;Biligiri;Asia;11.94;77.13;6423;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Kumara_et_al._(2012);Not included in Hatton
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1276.114986;1264.583333;1982;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;970.9704482;964.8326331;1984;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1130.709104;1122.560224;1986;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1252.57521;1240.845938;1988;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1177.216527;1162.313725;1990;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1157.131583;1124.537115;1992;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1238.052031;1203.791317;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1176.27521;1148.053922;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1323.822129;1297.321429;1998;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bori-Satpura Tiger Reserve India;Bori-Satpura;Asia;22.50767;78.27273;1478.60084;1441.767507;2002;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Bouba Njida National Park;Bouba;Asia;8.63;14.6;2700;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Van_Lavieren_and_Esser_(1979);Not included in Hatton
Buxa Tiger Reserve India;Buxa;Asia;26.63497;89.54391;2168.406504;1795.853659;1995;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Not included in Hatton
Royal Chitawan National Park;Chitawan;Asia;27.43;84.62;29866;NA;;NA;NA;28076;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);NB: Mostly livestock grazing, wild animals are only 1790 kg/km2.
Corbett Tiger Reserve India;Corbett;Asia;29.5333;78.93506;3783.494466;3632.783927;1993;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Corbett Tiger Reserve India;Corbett;Asia;29.5333;78.93506;3800.385974;3649.460197;1995;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Corbett Tiger Reserve India;Corbett;Asia;29.5333;78.93506;4442.465049;4290.718726;1997;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Gal Oya National Park;Gal;Asia;7.2406057;81.4857928;886;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
Gir Wildlife Sanctuary East;Gir;Asia;21.077148;70.941369;10717;NA;;NA;NA;8815;NA;Rodriguez et al. 2014;Khan_et_al._(1996);Not included in Hatton. GPS coordinate uddated
Gir Wildlife Sanctuary West;Gir;Asia;21.106785;70.752103;6380;NA;;NA;NA;4018;NA;Rodriguez et al. 2014;Khan_et_al._(1996);Not included in Hatton. GPS coordinate uddated
Huai Kha Khaeng Wildlife Sanctuary;Huai;Asia;15.46;99.29;1451;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Srikosamatara_(1993);Not included in Hatton
Jaldapara Wildlife Sanctuary;Jaldapara;Asia;26.7;89.31;984;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
Jigme Singye Wangchuck National Park;Jigme;Asia;27.24;90.41;994;NA;;NA;NA;615;NA;Rodriguez et al. 2014;Wang_(2010);Not included in Hatton
Kalakad Mundanthurai Tiger Reserve India;Kalakadu-Mundanthurai;Asia;8.6826863;77.3189004;1537.685475;1536.008939;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Not included in Hatton
Kalakadu-Mundanthurai Tiger Reserve;Kalakadu-Mundanthurai;Asia;8.6855242;77.3190138;2614;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Ramesh_et_al._(2012);Not included in Hatton
Kanha National Park;Kanha;Asia;22.29;80.62;6386;NA;;NA;NA;4678;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
Kanha National Park India;Kanha;Asia;22.29183;80.56019;3745.534894;3696.215957;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kanha National Park India;Kanha;Asia;22.29183;80.56019;3451.951809;3388.143617;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kanha National Park India;Kanha;Asia;22.29183;80.56019;2720.517234;2664.180851;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kanha National Park India;Kanha;Asia;22.29183;80.56019;3308.497447;3249.301064;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kanha National Park India;Kanha;Asia;22.29183;80.56019;3433.242553;3372.876596;1998;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Karnali-Bardia Wildlife reserve;Karnali-Bardia;Asia;28.5;81.26;2981;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Dinerstein,_1979,_Dinerstein,_1980;Not included in Hatton
Katka-Kochitkali;Katka-Kochitkali;Asia;21.89;89.76;3128;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Reza_et_al._(2002);Not included in Hatton
Kaziranga National Park;Kaziranga;Asia;26.65;93.38;2858;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Eisenberg_and_Seidensticker_(1976);Not included in Hatton
Melghat Tiger Reserve India;Melghat Tiger Reserve India;Asia;21.44758;77.17286;2020.026893;1987.252832;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Melghat Tiger Reserve India;Melghat Tiger Reserve India;Asia;21.44758;77.17286;1550.629517;1523.948122;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Melghat Tiger Reserve India;Melghat Tiger Reserve India;Asia;21.44758;77.17286;1213.821467;1175.958855;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Melghat Tiger Reserve India;Melghat Tiger Reserve India;Asia;21.44758;77.17286;1221.765772;1180.08229;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Nagarahole;Nagarahole;Asia;12.02;76.15;15094;NA;;NA;NA;350;NA;Rodriguez et al. 2014;"Karanth_and_Nichols_(1998);_Varma_(2007)";Not included in Hatton (well, yes, but not for the biomass estimates)
Nagarahole National Park India;Nagarahole;Asia;12.03626;76.14268;9993.78196;9992.155521;2002;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Nagarjunasagar-Srisailam Sanctuary India;Nagarjunasagar-Srisailam;Asia;16.1896743;78.7306334;365.8912556;365.8912556;1989;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Palamau Tiger Reserve India;Palamau Tiger Reserve India;Asia;23.6960695;84.2506198;3066.33501;2366.616371;1996;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Palamau Tiger Reserve India;Palamau Tiger Reserve India;Asia;23.6979758;84.250624;3157.021598;2642.489152;1993;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Palamau Tiger Reserve India;Palamau Tiger Reserve India;Asia;23.6979727;84.2492557;2957.211637;2735.475345;1994;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Palamau Tiger Reserve India;Palamau Tiger Reserve India;Asia;23.6954475;84.2506184;2811.479882;2447.883629;1995;1;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Panna National Park India;Panna National Park India;Asia;24.55;79.9807907;598.4428044;598.4428044;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS coordinate moved slightly to the south to aviod an area with NPP NA at the 1 km scale. 
Panna National Park India;Panna National Park India;Asia;24.55;79.9821669;820.7140221;820.7140221;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS coordinate moved slightly to the south to aviod an area with NPP NA at the 1 km scale. 
Panna National Park India;Panna National Park India;Asia;24.55;79.982164;932.1937269;932.1937269;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS coordinate moved slightly to the south to aviod an area with NPP NA at the 1 km scale. 
Panna National Park India;Panna National Park India;Asia;24.55;79.9807847;1073.904059;1073.904059;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS coordinate moved slightly to the south to aviod an area with NPP NA at the 1 km scale. 
Panna National Park India;Panna National Park India;Asia;24.55;79.9807757;1190.086716;1144.97417;1998;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS coordinate moved slightly to the south to aviod an area with NPP NA at the 1 km scale. 
Pench National Park;Pench;Asia;21.75;79.27;6013;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Biswas_and_Sankar_(2002);Not included in Hatton
Pench Tiger Reserve (MP) India;Pench;Asia;21.755533;79.3099549;540.6778364;1641.155642;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7568144;79.3127002;1075.657256;1894.237354;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7580872;79.3085763;1346.840897;1834.470817;1996;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7593625;79.3099549;1469.168602;1938.618677;1997;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7580822;79.3099523;1903.896042;1814.058366;1998;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7542541;79.3113295;1578.246174;534.4802111;1990;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7568107;79.3113309;1667.688654;1068.71504;1991;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MP) India;Pench;Asia;21.7580897;79.3113229;2012.672032;1338.759894;1992;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MR) India;Pench;Asia;21.7545733;79.314138;1691.789105;1458.48153;1993;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MR) India;Pench;Asia;21.7571272;79.3086395;1923.808949;1892.683377;1994;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Pench Tiger Reserve (MR) India;Pench;Asia;21.7571238;79.3086413;1862.280156;1572.092348;1995;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
